type,capacity,name,price,score,avg_review,reviews_count
Hotel,94.0,Casa de Reyes,US$320,"8.8
Scored 8.8",Excellent,"1,617"
Hotel,94.0,Abadía Hotel,US$295,"8.5
Scored 8.5",Very Good,"4,220"
Apartamentos,82.0,Apartamentos Montesclaros,US$308,"8.9
Scored 8.9",Excellent,665
Apartamentos,82.0,ADANAR-Las Columnas,US$298,"8.6
Scored 8.6",Excellent,"1,375"
Apartamentos,82.0,Central Deluxe Apartments by Apolo Homes,US$532,"9.0
Scored 9.0",Wonderful,119
Apartamentos,82.0,Luxury Alhambra Penthouse Collection,US$442,"8.6
Scored 8.6",Excellent,643
Apartamentos,82.0,Apartamentos Boutique Granada 3000,US$330,"8.4
Scored 8.4",Very Good,"1,093"
Apartamentos,82.0,Be Suites Centro,US$291,"8.3
Scored 8.3",Very Good,940
Apartamentos,82.0,limehome Granada Calle Santa Ana,US$341,"8.8
Scored 8.8",Excellent,"1,761"
Apartamentos,82.0,Nest Flats Granada,US$284,"8.5
Scored 8.5",Very Good,"1,710"
Apartamentos,82.0,Apartamentos Campo Del Príncipe,US$318,"8.8
Scored 8.8",Excellent,"1,668"
Apartamentos,82.0,Be Free Granada,US$289,"8.2
Scored 8.2",Very Good,"3,331"
Apartamentos,82.0,Sercotel Granada Suites,US$641,"9.2
Scored 9.2",Wonderful,"1,849"
Apartamentos,82.0,Chapizhome,US$353,"8.3
Scored 8.3",Very Good,558
Apartamentos,82.0,Granada Luxury Apartments by Apolo Homes,US$472,"9.0
Scored 9.0",Wonderful,492
Apartamentos,82.0,"APARTAMENTO CRIS I ,Piscina-Gym & Parking, parque de las ciencias",US$280,"9.6
Scored 9.6",Exceptional,31
Apartamentos,82.0,HNN GRANADA,US$453,"9.7
Scored 9.7",Exceptional,473
Apartamentos,82.0,BiBo Suites Plaza Nueva,US$453,"9.2
Scored 9.2",Wonderful,"2,884"
Apartamentos,82.0,tuGuest Gran Vía Apartments,US$361,"7.7
Scored 7.7",Good,145
Apartamentos,82.0,C&V Apartamentos - Horno de Marina,US$334,"8.3
Scored 8.3",Very Good,"1,257"
Apartamentos,82.0,Chezmoihomes Apartment Cathedral 2 dormitorios,US$412,"8.4
Scored 8.4",Very Good,86
Apartamentos,82.0,Chezmoihomes Plaza Nueva Luxury,US$497,"8.5
Scored 8.5",Very Good,76
Apartamentos,82.0,BiBo Suites San Agustín,US$420,"9.4
Scored 9.4",Wonderful,944
Apartamentos,82.0,Apartamentos Inside Paseo de los Tristes,US$487,"8.5
Scored 8.5",Very Good,456
Apartamentos,82.0,Ibericabeds Granada,US$383,"9.1
Scored 9.1",Wonderful,"1,609"
Apartamentos,82.0,Carmen Vistas de la Alhambra,US$334,"7.7
Scored 7.7",Good,932
Apartamentos,82.0,Elvira Suites,US$543,"8.9
Scored 8.9",Excellent,778
Hotel,96.0,Gran Hotel Luna de Granada,US$513,"8.5
Scored 8.5",Very Good,"9,442"
Hotel,96.0,Meliá Granada,"US$1,433","8.2
Scored 8.2",Very Good,"1,953"
Hotel,96.0,Hotel Saray,US$482,"8.4
Scored 8.4",Very Good,"9,655"
Hotel,96.0,Porcel Alixares,US$443,"8.4
Scored 8.4",Very Good,"9,280"
Hotel,96.0,Sercotel Granada Suites,US$641,"9.2
Scored 9.2",Wonderful,"1,849"
Hotel,96.0,Hotel Macià Granada Five Senses Rooms & Suites,US$560,"8.6
Scored 8.6",Excellent,"4,683"
Hotel,96.0,Eurostars Puerta Real,US$646,"8.9
Scored 8.9",Excellent,"4,056"
Hotel,96.0,Hotel Dauro Premier,US$441,"8.6
Scored 8.6",Excellent,"1,380"
Hotel,96.0,Porcel Sabica,US$456,"8.3
Scored 8.3",Very Good,"4,415"
Hotel,96.0,Hotel Comfort Dauro 2,US$441,"8.6
Scored 8.6",Excellent,"3,611"
Hotel,96.0,BiBo Suites San Agustín,US$420,"9.4
Scored 9.4",Wonderful,944
Hotel,96.0,Allegro Granada,US$479,"8.6
Scored 8.6",Excellent,"4,142"
Hotel,96.0,Elvira Suites,US$543,"8.9
Scored 8.9",Excellent,778
Hotel,96.0,Suites Gran Vía 44,US$434,"9.0
Scored 9.0",Wonderful,"1,098"
Hotel,96.0,Hotel Boutique Puerta de las Granadas,US$581,"8.7
Scored 8.7",Excellent,"1,612"
Hotel,96.0,Hotel Macià Cóndor,US$397,"7.7
Scored 7.7",Good,"1,834"
Hotel,96.0,Home Granada Trinidad,US$380,"8.8
Scored 8.8",Excellent,"1,319"
Hotel,96.0,U-Sense Granada Centro,US$539,"8.8
Scored 8.8",Excellent,"2,582"
Hotel,96.0,Anacapri,US$617,"8.7
Scored 8.7",Excellent,"3,612"
Hotel,96.0,Hotel Carlos V,US$442,"8.3
Scored 8.3",Very Good,"3,521"
Hotel,96.0,Hotel Casa Palacete Tablas,US$723,"9.0
Scored 9.0",Wonderful,61
Hotel,96.0,Hotel Molinos,US$420,"8.0
Scored 8.0",Very Good,"2,691"
Hotel,96.0,SUITES CASA DE LAS COLUMNAS,US$356,"8.8
Scored 8.8",Excellent,554
Hotel,96.0,Hostal Arriola,US$427,"8.4
Scored 8.4",Very Good,777
Hotel,96.0,Vincci Albayzin,US$835,"8.5
Scored 8.5",Very Good,"5,360"
Hotel,96.0,Barceló Carmen Granada,US$765,"9.0
Scored 9.0",Wonderful,"1,174"
Apartamentos,90.0,Chapizhome,US$453,"8.3
Scored 8.3",Very Good,558
Apartamentos,90.0,Carmen Vistas de la Alhambra,US$334,"7.7
Scored 7.7",Good,932
Apartamentos,90.0,Be Free Granada,US$342,"8.2
Scored 8.2",Very Good,"3,331"
Apartamentos,90.0,tuGuest San Agustín III Apartment,US$494,"8.7
Scored 8.7",Excellent,25
Apartamentos,90.0,Apartamentos Puerta Elvira Suites 3000,US$416,"9.2
Scored 9.2",Wonderful,301
Apartamentos,90.0,tuGuest Alhondiga II Apartment,US$444,"8.2
Scored 8.2",Very Good,9
Apartamentos,90.0,Be Suites Centro,US$371,"8.3
Scored 8.3",Very Good,940
Apartamentos,90.0,Neptuno Deluxe,US$418,"9.5
Scored 9.5",Exceptional,55
Apartamentos,90.0,Apartamentos Correo Viejo de Granada,US$730,"8.5
Scored 8.5",Very Good,805
Apartamentos,90.0,GLORIA SUITES,US$489,"7.9
Scored 7.9",Good,455
Apartamentos,90.0,Luxury Alhambra Penthouse Collection,US$769,"8.6
Scored 8.6",Excellent,643
Apartamentos,90.0,Apartamentos Alhambra Granada 3000,US$361,"7.7
Scored 7.7",Good,"1,083"
Apartamentos,90.0,IMEDA Apartamentos Piedra Santa,US$616,"8.9
Scored 8.9",Excellent,91
Apartamentos,90.0,EnjoyGranada CARLOS CANO II,US$404,"8.1
Scored 8.1",Very Good,173
Apartamentos,90.0,BiBo Suites Plaza Nueva,US$580,"9.2
Scored 9.2",Wonderful,"2,884"
Apartamentos,90.0,Suite Alhambra Puerta Bib-Rambla,US$728,"9.0
Scored 9.0",Wonderful,21
Apartamentos,90.0,BiBo Suites Oro del Darro,US$660,"9.3
Scored 9.3",Wonderful,"2,509"
Apartamentos,90.0,Chezmoihomes Plaza Nueva Luxury,US$680,"8.5
Scored 8.5",Very Good,76
Apartamentos,90.0,Apartamento Nuevo Centro Granada,US$572,"8.8
Scored 8.8",Excellent,79
Apartamentos,90.0,EnjoyGranada ELVIRA,US$501,"7.7
Scored 7.7",Good,231
Apartamentos,90.0,MOLINO CORTEZA DELUXE 6 pax,US$561,"8.7
Scored 8.7",Excellent,102
Apartamentos,90.0,Chezmoihomes Plaza Nueva Deluxe,US$783,"9.0
Scored 9.0",Wonderful,279
Apartamentos,90.0,Suite patio del arquitecto,US$485,"10
Scored 10",Exceptional,1
Apartamentos,90.0,Amazing Loft! Rooftop Terrace! Alhambra Views!,US$409,"8.8
Scored 8.8",Excellent,26
Apartamentos,90.0,Apartamento Caleta,US$358,"9.2
Scored 9.2",Wonderful,50
Hotel,96.0,Hotel Molinos,US$502,"8.0
Scored 8.0",Very Good,"2,691"
Hotel,96.0,Meliá Granada,"US$1,743","8.2
Scored 8.2",Very Good,"1,953"
Hotel,96.0,BiBo Suites San Agustín,US$597,"9.4
Scored 9.4",Wonderful,944
Hotel,96.0,Suites Gran Vía 44,US$760,"9.0
Scored 9.0",Wonderful,"1,098"
Hotel,96.0,Abadía Hotel,US$768,"8.5
Scored 8.5",Very Good,"4,220"
Hotel,96.0,Hotel Macià Monasterio de los Basilios,US$564,"8.1
Scored 8.1",Very Good,"2,708"
Hotel,96.0,Catalonia Granada,US$684,"8.9
Scored 8.9",Excellent,"4,054"
Hotel,96.0,Gran Hotel Luna de Granada,US$812,"8.5
Scored 8.5",Very Good,"9,442"
Hotel,96.0,Hotel Saray,US$675,"8.4
Scored 8.4",Very Good,"9,655"
Hotel,96.0,Hotel Dauro Premier,US$688,"8.6
Scored 8.6",Excellent,"1,380"
Hotel,96.0,Sercotel Granada Suites,"US$1,184","9.2
Scored 9.2",Wonderful,"1,849"
Hotel,96.0,Hotel Andalucía Center,US$704,"8.8
Scored 8.8",Excellent,"7,183"
Hotel,96.0,Porcel Alixares,US$673,"8.4
Scored 8.4",Very Good,"9,280"
Hotel,96.0,Presidente,US$685,"7.7
Scored 7.7",Good,"1,332"
Hotel,96.0,Hotel Macià Real De La Alhambra,US$657,"8.5
Scored 8.5",Very Good,"5,084"
Hotel,96.0,Hotel Monasterio Granada - Adults Only,US$514,"6.9
Scored 6.9",Review score,"3,944"
Hotel,96.0,Crisol Guadalupe,US$651,"8.5
Scored 8.5",Very Good,"4,696"
Hotel,96.0,Vincci Albayzin,US$890,"8.5
Scored 8.5",Very Good,"5,360"
Hotel,96.0,Hotel Casa Palacete Tablas,"US$1,114","9.0
Scored 9.0",Wonderful,61
Hotel,96.0,Hotel Granada Center,US$870,"9.1
Scored 9.1",Wonderful,"8,515"
Hotel,96.0,Anacapri,US$981,"8.7
Scored 8.7",Excellent,"3,612"
Hotel,96.0,Áurea Washington Irving by Eurostars Hotel Company,"US$1,163","8.9
Scored 8.9",Excellent,"2,629"
Hotel,96.0,Hotel Boutique Puerta de las Granadas,US$868,"8.7
Scored 8.7",Excellent,"1,612"
Hotel,96.0,Porcel Sabica,US$699,"8.3
Scored 8.3",Very Good,"4,415"
Hotel,96.0,Hotel Macià Cóndor,US$603,"7.7
Scored 7.7",Good,"1,834"
Hotel,96.0,Allegro Granada,US$766,"8.6
Scored 8.6",Excellent,"4,142"
Apartamentos,94.0,Chapizhome,US$453,"8.3
Scored 8.3",Very Good,558
Apartamentos,94.0,Neptuno Deluxe,US$467,"9.5
Scored 9.5",Exceptional,55
Apartamentos,94.0,Suite Alhambra Puerta Bib-Rambla,US$647,"9.0
Scored 9.0",Wonderful,21
Apartamentos,94.0,Apartamento Nuevo Centro Granada,US$572,"8.8
Scored 8.8",Excellent,79
Apartamentos,94.0,Apartamento Recogidas 39,US$466,"7.6
Scored 7.6",Good,54
Apartamentos,94.0,Precioso apartamento terraza con vistas,US$685,"8.8
Scored 8.8",Excellent,57
Apartamentos,94.0,tuGuest San Agustín III Apartment,US$576,"8.7
Scored 8.7",Excellent,25
Apartamentos,94.0,tuGuest Station 2 apartment,US$385,"8.2
Scored 8.2",Very Good,76
Apartamentos,94.0,H&H Suite Santa Paula,US$585,"7.7
Scored 7.7",Good,9
Apartamentos,94.0,Zahira Suites,US$599,"6.9
Scored 6.9",Review score,242
Apartamentos,94.0,Vivienda turística Salazar,US$451,"9.2
Scored 9.2",Wonderful,55
Apartamentos,94.0,Grace Apartments - 3 bedroom City Centre,US$837,"9.7
Scored 9.7",Exceptional,190
Apartamentos,94.0,tuGuest Halcón Apartment,US$565,"9.2
Scored 9.2",Wonderful,64
Apartamentos,94.0,Riad Puertas del Albaicín,US$526,"7.4
Scored 7.4",Good,423
Apartamentos,94.0,Maravilloso Piso en el Centro_WIFI_Parking_8People,US$641,"9.4
Scored 9.4",Wonderful,31
Apartamentos,94.0,Ibericabeds Albaicín,US$591,"8.3
Scored 8.3",Very Good,108
Apartamentos,94.0,"Granada centro, amplio, wifi y A/C",US$576,-,-,-
Apartamentos,94.0,City Center,US$746,"8.2
Scored 8.2",Very Good,89
Apartamentos,94.0,Corrala de San Antón. Sencillo apartamento en pleno centro,US$499,"7.4
Scored 7.4",Good,23
Apartamentos,94.0,tuGuest El Rincón de Felisa,US$738,"9.0
Scored 9.0",Wonderful,22
Apartamentos,94.0,Chezmoihomes La Belle Epoque oversized in the very heart of Granada,US$785,"8.6
Scored 8.6",Excellent,36
Apartamentos,94.0,Apartamento ideal para familias en Granada,US$686,"8.9
Scored 8.9",Excellent,20
Apartamentos,94.0,Preciosa vivienda con gran terraza muy luminoso,US$693,"8.5
Scored 8.5",Very Good,28
Apartamentos,94.0,2 Apartamento en el Centro de Granada,US$690,"7.3
Scored 7.3",Good,35
Apartamentos,94.0,tuGuest Gran Vía Deluxe,US$698,-,-,-
Hotel,97.0,Gran Hotel Luna de Granada,US$934,"8.5
Scored 8.5",Very Good,"9,442"
Hotel,97.0,Meliá Granada,"US$2,150","8.2
Scored 8.2",Very Good,"1,953"
Hotel,97.0,Hotel Molinos,US$630,"8.0
Scored 8.0",Very Good,"2,691"
Hotel,97.0,Hotel Casa Palacete Tablas,"US$1,446","9.0
Scored 9.0",Wonderful,61
Hotel,97.0,Elvira Suites,"US$1,151","8.9
Scored 8.9",Excellent,778
Hotel,97.0,Porcel Alixares,US$812,"8.4
Scored 8.4",Very Good,"9,280"
Hotel,97.0,Hotel Saray,US$854,"8.4
Scored 8.4",Very Good,"9,655"
Hotel,97.0,Sercotel Granada Suites,"US$1,249","9.2
Scored 9.2",Wonderful,"1,849"
Hotel,97.0,Hotel Dauro Premier,US$817,"8.6
Scored 8.6",Excellent,"1,380"
Hotel,97.0,Eurostars Puerta Real,"US$1,162","8.9
Scored 8.9",Excellent,"4,056"
Hotel,97.0,Suites Gran Vía 44,US$869,"9.0
Scored 9.0",Wonderful,"1,098"
Hotel,97.0,Hotel Macià Granada Five Senses Rooms & Suites,"US$1,121","8.6
Scored 8.6",Excellent,"4,683"
Hotel,97.0,Hotel Macià Cóndor,US$704,"7.7
Scored 7.7",Good,"1,834"
Hotel,97.0,Hotel Carlos V,US$884,"8.3
Scored 8.3",Very Good,"3,521"
Hotel,97.0,Porcel Sabica,US$836,"8.3
Scored 8.3",Very Good,"4,415"
Hotel,97.0,BiBo Suites San Agustín,US$840,"9.4
Scored 9.4",Wonderful,944
Hotel,97.0,Allegro Granada,US$926,"8.6
Scored 8.6",Excellent,"4,142"
Hotel,97.0,U-Sense Granada Centro,"US$1,077","8.8
Scored 8.8",Excellent,"2,582"
Hotel,97.0,Vincci Albayzin,"US$1,354","8.5
Scored 8.5",Very Good,"5,360"
Hotel,97.0,Hostal Arriola,US$753,"8.4
Scored 8.4",Very Good,777
Hotel,97.0,Hotel Párraga Siete,US$983,"8.7
Scored 8.7",Excellent,"1,645"
Hotel,97.0,Alhambra Palace Hotel,"US$4,388","8.7
Scored 8.7",Excellent,"1,489"
Hotel,97.0,Barceló Carmen Granada,"US$1,388","9.0
Scored 9.0",Wonderful,"1,174"
Hotel,97.0,Los Angeles Hotel & Spa,US$850,"7.6
Scored 7.6",Good,"2,131"
Hotel,97.0,Bubaqia House - Suites Boutique,"US$1,525","9.8
Scored 9.8",Exceptional,17
Hotel,97.0,Hotel Universal,"US$1,316","7.8
Scored 7.8",Good,"4,590"
Apartamentos,94.0,Chapizhome,US$544,"8.3
Scored 8.3",Very Good,558
Apartamentos,94.0,Apartamento Nuevo Centro Granada,US$654,"8.8
Scored 8.8",Excellent,79
Apartamentos,94.0,Neptuno Deluxe,US$467,"9.5
Scored 9.5",Exceptional,55
Apartamentos,94.0,tuGuest San Agustín III Apartment,US$576,"8.7
Scored 8.7",Excellent,25
Apartamentos,94.0,Suite Alhambra Puerta Bib-Rambla,US$808,"9.0
Scored 9.0",Wonderful,21
Apartamentos,94.0,Maravilloso Piso en el Centro_WIFI_Parking_8People,US$641,"9.4
Scored 9.4",Wonderful,31
Apartamentos,94.0,tuGuest Halcón Apartment,US$565,"9.2
Scored 9.2",Wonderful,64
Apartamentos,94.0,Grace Apartments - 3 bedroom City Centre,US$925,"9.7
Scored 9.7",Exceptional,190
Apartamentos,94.0,City Center,US$746,"8.2
Scored 8.2",Very Good,89
Apartamentos,94.0,Ibericabeds Albaicín,US$591,"8.3
Scored 8.3",Very Good,108
Apartamentos,94.0,"Granada centro, amplio, wifi y A/C",US$576,-,-,-
Apartamentos,94.0,Vivienda turística Salazar,US$565,"9.2
Scored 9.2",Wonderful,55
Apartamentos,94.0,Precioso apartamento terraza con vistas,US$783,"8.8
Scored 8.8",Excellent,57
Apartamentos,94.0,Apartamento ideal para familias en Granada,US$686,"8.9
Scored 8.9",Excellent,20
Apartamentos,94.0,Corrala de San Antón. Sencillo apartamento en pleno centro,US$499,"7.4
Scored 7.4",Good,23
Apartamentos,94.0,tuGuest Station 2 apartment,US$385,"8.2
Scored 8.2",Very Good,76
Apartamentos,94.0,H&H Suite Santa Paula,US$800,"7.7
Scored 7.7",Good,9
Apartamentos,94.0,Preciosa vivienda con gran terraza muy luminoso,US$693,"8.5
Scored 8.5",Very Good,28
Apartamentos,94.0,2 Apartamento en el Centro de Granada,US$690,"7.3
Scored 7.3",Good,35
Apartamentos,94.0,tuGuest Gran Vía Deluxe,US$722,-,-,-
Apartamentos,94.0,Chezmoihomes La Belle Epoque oversized in the very heart of Granada,US$968,"8.6
Scored 8.6",Excellent,36
Apartamentos,94.0,"2D Apartamento en Albaycín, en el centro de Granada",US$708,"8.3
Scored 8.3",Very Good,30
Apartamentos,94.0,Apartamento Con Parking Gratuito,US$662,"7.1
Scored 7.1",Good,84
Apartamentos,94.0,"Conjunto Altos de Vista Nevada,nº11,portal 7,1ºA.",US$787,"9.3
Scored 9.3",Wonderful,32
Apartamentos,94.0,tuGuest Manuel de Falla Apartment,US$624,"9.0
Scored 9.0",Wonderful,24
Hotel,96.0,Hotel Casa Palacete Tablas,"US$1,446","9.0
Scored 9.0",Wonderful,61
Hotel,96.0,Meliá Granada,"US$2,460","8.2
Scored 8.2",Very Good,"1,953"
Hotel,96.0,Hotel Molinos,US$642,"8.0
Scored 8.0",Very Good,"2,691"
Hotel,96.0,Gran Hotel Luna de Granada,US$995,"8.5
Scored 8.5",Very Good,"9,442"
Hotel,96.0,BiBo Suites San Agustín,US$856,"9.4
Scored 9.4",Wonderful,944
Hotel,96.0,Elvira Suites,"US$1,347","8.9
Scored 8.9",Excellent,778
Hotel,96.0,Hotel Carlos V,US$884,"8.3
Scored 8.3",Very Good,"3,521"
Hotel,96.0,Sercotel Granada Suites,"US$1,249","9.2
Scored 9.2",Wonderful,"1,849"
Hotel,96.0,Eurostars Puerta Real,"US$1,162","8.9
Scored 8.9",Excellent,"4,056"
Hotel,96.0,Vincci Albayzin,"US$1,354","8.5
Scored 8.5",Very Good,"5,360"
Hotel,96.0,U-Sense Granada Centro,"US$1,224","8.8
Scored 8.8",Excellent,"2,582"
Hotel,96.0,Bubaqia House - Suites Boutique,"US$1,525","9.8
Scored 9.8",Exceptional,17
Hotel,96.0,Suites Gran Vía 44,"US$1,146","9.0
Scored 9.0",Wonderful,"1,098"
Hotel,96.0,Hostal Arriola,"US$1,046","8.4
Scored 8.4",Very Good,777
Hotel,96.0,Alhambra Palace Hotel,"US$4,388","8.7
Scored 8.7",Excellent,"1,489"
Hotel,96.0,Barceló Granada Congress,"US$2,384","8.5
Scored 8.5",Very Good,"4,974"
Hotel,96.0,Abadía Hotel,"US$1,043","8.5
Scored 8.5",Very Good,"4,220"
Hotel,96.0,Hotel Monasterio Granada - Adults Only,US$724,"6.9
Scored 6.9",Review score,"3,944"
Hotel,96.0,Hotel Saray,US$960,"8.4
Scored 8.4",Very Good,"9,655"
Hotel,96.0,Presidente,US$996,"7.7
Scored 7.7",Good,"1,332"
Hotel,96.0,Barceló Carmen Granada,"US$1,423","9.0
Scored 9.0",Wonderful,"1,174"
Hotel,96.0,Porcel Alixares,US$948,"8.4
Scored 8.4",Very Good,"9,280"
Hotel,96.0,Hotel Macià Monasterio de los Basilios,US$811,"8.1
Scored 8.1",Very Good,"2,708"
Hotel,96.0,Áurea Washington Irving by Eurostars Hotel Company,"US$1,605","8.9
Scored 8.9",Excellent,"2,629"
Hotel,96.0,Hotel Andalucía Center,"US$1,002","8.8
Scored 8.8",Excellent,"7,183"
Hotel,96.0,Hotel Dauro Premier,"US$1,000","8.6
Scored 8.6",Excellent,"1,380"
Apartamentos,88.0,Casa Montalbán Apartamentos Turísticos,"US$1,041","8.3
Scored 8.3",Very Good,503
Apartamentos,88.0,My Granada Garden - Apartamento Orquídea,US$698,"9.5
Scored 9.5",Exceptional,82
Apartamentos,88.0,Palacio Almagra,US$374,"8.8
Scored 8.8",Excellent,585
Apartamentos,88.0,Be Free Granada,US$376,"8.2
Scored 8.2",Very Good,"3,331"
Apartamentos,88.0,PATIOdeLUZ - Stylish apartments in Párraga 13,US$530,"9.5
Scored 9.5",Exceptional,464
Apartamentos,88.0,Be Suites Centro,US$415,"8.3
Scored 8.3",Very Good,940
Apartamentos,88.0,Palacio Cabrera - Lillo,US$543,"9.1
Scored 9.1",Wonderful,"2,374"
Apartamentos,88.0,Luxury Alhambra Penthouse Collection,US$637,"8.6
Scored 8.6",Excellent,643
Apartamentos,88.0,limehome Granada Calle Santa Ana,US$494,"8.8
Scored 8.8",Excellent,"1,761"
Apartamentos,88.0,C&V Apartamentos - Horno de Marina,US$450,"8.3
Scored 8.3",Very Good,"1,257"
Apartamentos,88.0,Mosaiko Homes Catedral Granada,US$749,"9.5
Scored 9.5",Exceptional,"1,015"
Apartamentos,88.0,Imeda Apartamentos Escudo del Carmen 19,US$571,"9.0
Scored 9.0",Wonderful,380
Apartamentos,88.0,ROSE Apartamentos,US$508,"8.6
Scored 8.6",Excellent,552
Apartamentos,88.0,Casas del Albaicín,US$642,"8.9
Scored 8.9",Excellent,781
Apartamentos,88.0,Chezmoihomes Plaza Nueva Luxury,US$697,"8.5
Scored 8.5",Very Good,76
Apartamentos,88.0,El Ladrón De Agua Palacete,US$743,-,-,-
Apartamentos,88.0,Palacio Dorobe,US$535,"8.2
Scored 8.2",Very Good,212
Apartamentos,88.0,Chezmoihomes Plaza Nueva Deluxe,US$866,"9.0
Scored 9.0",Wonderful,279
Apartamentos,88.0,Granada CENTRO al pie de la Alhambra y el Albaicín,US$391,"9.6
Scored 9.6",Exceptional,54
Apartamentos,88.0,Apartamentos Turísticos Las Nieves,US$588,"8.7
Scored 8.7",Excellent,925
Apartamentos,88.0,Trinidad Deluxe 1,US$488,"8.3
Scored 8.3",Very Good,60
