check-in,tipo,pax,precio,1,6,8,13,15,20,22,27
2024-04-18,Hotel,2,269.64557692307693,96.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-04-23,Hotel,2,185.53596153846152,96.0,95.0,95.0,95.0,95.0,95,95,95.0
2024-04-25,Hotel,2,238.6521153846154,97.0,96.0,96.0,96.0,96.0,96,95,95.0
2024-04-30,Hotel,2,213.93115384615385,96.0,95.0,95.0,95.0,95.0,96,95,95.0
2024-05-02,Hotel,2,326.3847252747253,96.79571663920922,96.0,96.0,99.0,96.0,96,96,96.0
2024-05-07,Hotel,2,155.95945054945057,95.0,95.0,95.0,95.0,95.0,95,95,95.0
2024-05-09,Hotel,2,234.1376923076923,97.0,96.0,96.0,99.0,96.0,95,95,95.0
2024-05-14,Hotel,2,166.82175824175826,95.0,95.0,95.0,95.0,94.0,95,94,94.0
2024-05-16,Hotel,2,235.42912087912092,97.0,96.0,96.0,96.0,96.0,96,95,77.0
2024-05-21,Hotel,2,156.88169312169313,96.0,95.0,94.0,94.0,94.0,94,94,94.0
2024-05-23,Hotel,2,207.34967032967032,96.0,95.0,95.0,95.0,95.0,95,95,95.0
2024-05-28,Hotel,2,184.49285714285716,95.0,95.0,95.0,95.0,95.0,94,95,94.0
2024-05-30,Hotel,2,212.70846153846153,96.0,95.0,95.0,95.0,96.0,78,95,95.0
2024-06-04,Hotel,2,163.52999999999997,95.0,95.0,95.0,94.0,95.0,95,95,94.0
2024-06-06,Hotel,2,219.97096153846155,96.0,96.0,96.0,71.0,95.0,96,96,96.0
2024-04-16,Hotel,4,163.35836538461538,96.0,96.0,96.0,96.0,96.0,96,95,95.0
2024-04-18,Hotel,4,322.55375,97.0,97.0,97.0,97.0,97.0,97,97,97.0
2024-04-23,Hotel,4,221.40124999999998,97.0,97.0,97.0,97.0,96.0,96,96,96.0
2024-04-25,Hotel,4,256.605,98.0,94.0,97.0,97.0,97.0,97,97,97.0
2024-04-30,Hotel,4,238.46875,97.0,96.0,96.0,97.0,97.0,97,96,96.0
2024-05-02,Hotel,4,327.15714285714284,97.0,97.0,97.0,97.0,97.0,97,97,97.0
2024-05-07,Hotel,4,166.29565934065934,97.0,96.30121341898644,96.0,96.0,96.0,96,96,95.0
2024-05-09,Hotel,4,236.08714285714285,98.0,97.0,98.34824281150159,97.0,97.0,96,96,96.0
2024-05-14,Hotel,4,143.3041208791209,96.0,96.0,96.0,96.0,96.0,96,95,95.0
2024-05-16,Hotel,4,235.13714285714286,98.0,97.0,97.0,97.0,97.0,97,96,96.0
2024-05-21,Hotel,4,152.51214285714286,97.0,96.0,95.0,95.0,96.0,97,99,96.0
2024-05-23,Hotel,4,164.18428571428572,97.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-05-28,Hotel,4,196.63285714285715,97.0,96.0,97.0,96.0,96.0,96,96,95.0
2024-05-30,Hotel,4,210.33466346153847,97.0,96.0,96.0,96.0,86.0,96,97,96.0
2024-06-04,Hotel,4,148.77014423076923,96.0,96.0,96.0,96.0,96.0,96,96,95.0
2024-06-06,Hotel,4,259.5101923076923,98.0,97.0,97.0,97.0,97.0,97,99,97.0
2024-04-16,Hotel,5,145.66330769230768,96.0,96.0,96.0,96.0,96.0,95,95,95.0
2024-04-18,Hotel,5,319.74899999999997,97.0,97.0,97.0,96.0,97.0,97,97,97.0
2024-04-23,Hotel,5,176.877,89.0,97.0,97.0,96.0,96.0,96,96,96.0
2024-04-25,Hotel,5,294.6599615384615,98.0,97.0,97.0,96.0,97.0,96,96,96.0
2024-04-30,Hotel,5,239.891,97.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-05-02,Hotel,5,364.48228571428575,98.13014827018122,99.0,97.0,97.0,97.0,97,97,97.0
2024-05-07,Hotel,5,157.44799999999998,97.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-05-09,Hotel,5,228.08914285714286,98.0,97.0,97.38338658146967,97.0,97.0,96,96,96.0
2024-05-14,Hotel,5,157.00685714285714,96.0,96.0,95.0,95.35810810810811,95.0,96,95,95.0
2024-05-16,Hotel,5,241.01600000000002,98.0,97.0,97.0,97.0,97.0,97,96,96.0
2024-05-21,Hotel,5,147.39771428571427,97.0,96.0,95.0,95.0,95.0,95,95,95.0
2024-05-23,Hotel,5,201.77485714285712,97.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-05-28,Hotel,5,164.30320879120876,97.0,96.0,96.0,96.0,96.0,96,96,95.0
2024-05-30,Hotel,5,213.2686923076923,97.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-06-04,Hotel,5,143.43699999999998,96.0,96.0,96.0,95.0,95.0,95,95,95.0
2024-06-06,Hotel,5,230.35069230769233,98.0,97.0,97.0,97.0,97.0,96,97,96.0
2024-04-16,Hotel,7,185.60959383753502,97.0,97.0,97.0,96.0,96.0,96,96,96.0
2024-04-18,Hotel,7,292.285,98.0,98.0,98.0,98.0,98.0,97,97,97.0
2024-04-23,Hotel,7,215.95730607627667,98.0,97.0,97.0,97.0,97.0,97,97,97.0
2024-04-25,Hotel,7,270.4428571428572,99.0,98.0,97.0,97.0,98.0,97,97,97.0
2024-04-30,Hotel,7,254.33249999999998,97.0,97.0,97.0,97.0,97.0,97,97,97.0
2024-05-02,Hotel,7,361.9598639455782,98.2652388797364,98.0,98.0,99.0,98.0,98,98,98.0
2024-05-07,Hotel,7,163.33270997287804,97.0,98.29193433261956,99.0,97.0,96.0,96,96,96.0
2024-05-09,Hotel,7,220.30035214085635,98.0,97.0,97.0,98.0,97.0,97,97,97.0
2024-05-14,Hotel,7,164.4127891156463,97.0,97.0,97.0,97.0,97.0,96,95,96.0
2024-05-16,Hotel,7,237.40122448979596,99.0,98.0,98.0,98.0,97.0,97,97,97.0
2024-05-21,Hotel,7,140.95045525902668,98.0,96.0,96.0,96.0,96.0,96,96,96.0
2024-05-23,Hotel,7,196.84440299196604,98.0,97.0,97.0,97.0,97.0,97,96,96.0
2024-05-28,Hotel,7,168.78737279527195,97.0,97.0,97.0,97.0,97.0,97,97,96.0
2024-05-30,Hotel,7,218.03081555699205,98.0,97.0,97.0,97.0,97.0,97,97,97.0
2024-06-04,Hotel,7,140.23077904238616,97.0,97.0,96.0,99.0,96.0,96,96,96.0
2024-06-06,Hotel,7,232.64643341952163,98.0,98.0,98.0,97.0,97.0,97,97,97.0
